,JP001,JP002,JP003,JP004,JP005,JP006,JP007,JP008
1700015G11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700016C15Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.148118962,6.141286958,6.187262256
1700016D06Rik,6.564384391,6.690384508,6.322645757,6.38447686,6.636350476,6.634525061,6.409771714,6.333500937
1700016H13Rik,6.360087365,6.123474435,6.239187257,6.109220891,5.879159283,5.879159283,5.879159283,6.113681989
1700016K19Rik,7.82408213,7.725027404,7.937677116,7.496406311,6.866320567,7.431529389,7.787705908,7.563845866
1700017B05Rik,9.687195367,9.241461765,9.192297031,9.719518226,10.64506626,10.09861023,10.00449983,9.675607683
1700017D01Rik,6.41239347,6.481555803,6.221122813,5.879159283,6.389878839,6.258911334,6.242952444,6.186695797
1700017N19Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700018B08Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700018F24Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.453913416,5.879159283
1700018G05Rik,6.784012328,6.688921966,6.46059659,6.350842252,5.879159283,6.189993345,6.130039496,6.636521212
1700018M17Rik,5.879159283,6.208065049,5.879159283,6.047980071,5.879159283,6.135925593,5.879159283,5.879159283
1700019A02Rik,6.255159381,5.879159283,6.060702343,6.159983948,5.879159283,5.879159283,6.221550124,6.05889797
1700019D03Rik,10.26649213,10.10134651,10.3889958,10.13969889,9.54977449,9.730650476,9.996105625,9.855992012
1700019M22Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700019N19Rik,5.879159283,6.248127678,5.879159283,5.879159283,6.071348363,5.879159283,5.879159283,5.879159283
1700020A23Rik,6.254284732,5.879159283,5.879159283,5.879159283,6.171418062,5.879159283,5.879159283,5.879159283
1700020D05Rik,6.288510588,5.879159283,6.264274708,5.879159283,6.21982463,6.253756937,6.060883883,6.054712109
1700020L24Rik,5.879159283,6.30235749,6.680241909,6.375088124,6.699202789,6.543721176,6.375395098,6.632564342
1700020N01Rik,5.879159283,5.879159283,5.879159283,6.054091779,5.879159283,5.879159283,5.879159283,5.879159283
1700020N15Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700021F05Rik,10.06078891,10.08468805,10.19987638,9.982701684,9.95029653,10.28652768,10.11485381,10.24160518
1700021F07Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700022A21Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700022I11Rik,6.167635269,5.879159283,5.879159283,6.11894262,6.248190196,6.050661054,6.381898313,6.122907064
1700023F06Rik,6.531201724,6.863888775,7.122751066,6.924915829,7.366628301,7.106418178,7.187914766,7.001076844
1700024B05Rik,6.082086541,5.879159283,5.879159283,5.879159283,6.459091679,6.068213147,5.879159283,5.879159283
1700024G13Rik,5.879159283,6.502970934,5.879159283,5.879159283,5.879159283,6.066905919,6.507103151,6.342336222
1700024J04Rik,6.913286512,6.891728737,6.619461429,6.718854726,6.64897918,6.812159227,6.826617792,6.848637304
1700024P04Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700025B11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700025C18Rik,5.879159283,6.101830123,6.12410291,5.879159283,6.276632284,6.198258656,6.133679791,6.123097523
1700025F22Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700025G04Rik,11.07279888,11.11908772,11.06826225,10.90812525,10.45749493,10.84090883,10.74233102,10.72757651
1700028B04Rik,6.553673061,6.71512965,6.678139667,6.446874737,6.318138869,6.335684756,6.618971313,6.455889413
1700028J19Rik,7.679382397,7.248517472,8.15562711,7.723992897,6.849675529,7.297436161,7.411314028,7.432964315
1700028K03Rik,7.156547497,6.72913903,6.94717699,7.108977776,6.584854351,6.450984946,6.665895597,7.364543419
1700028P14Rik,7.013548975,6.867561313,6.894744076,6.889051551,7.20234841,7.143048338,7.28325759,7.291913897
1700029F12Rik,6.358821868,6.240903325,6.373582637,6.346844935,6.343550145,6.257585173,6.247334688,6.117847812
1700029H14Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700029I15Rik,7.957499118,7.60056109,7.120757128,7.656385293,8.422588997,7.988167805,8.186776216,8.103735405
1700029J07Rik,8.594647522,8.088919451,7.95361858,8.142944778,7.963119932,7.547072415,7.865463956,7.891075765
1700029P11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700030C10Rik,6.866147439,7.895651429,6.968473943,8.184288905,6.344998186,6.534349988,6.684749794,6.373571793
1700030J22Rik,8.700150851,8.585118237,8.93544923,8.817302455,7.957387736,7.930713077,8.317042398,8.323746237
1700030K09Rik,9.823647514,9.791364621,9.322033961,9.789033388,9.580451066,9.615160401,9.29407959,9.536245364
1700031F05Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700031M16Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700034E13Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700034I23Rik,6.750359655,6.357333444,6.121463994,6.769823748,6.623325345,6.069447654,6.479968279,6.490840026
1700034J05Rik,6.448704293,6.572657406,6.331168567,6.380602296,6.562920658,6.497713566,6.176832996,6.147810336
1700037C18Rik,8.891965373,8.958457507,9.143160686,8.900538164,7.649945535,7.979118603,7.670403642,7.716206608
1700037H04Rik,11.4437773,11.50831051,11.74754127,11.40017437,10.46167634,11.04919006,11.09909951,11.21792815
1700040F15Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700042G07Rik,5.879159283,5.879159283,6.260509764,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700047I17Rik2,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700049E17Rik1,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700049E17Rik2,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700049L16Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700056E22Rik,5.879159283,6.290215976,6.159044836,5.879159283,6.770693763,6.726789873,6.448824237,6.697271729
1700057G04Rik,6.83480862,6.374658437,6.545538869,6.387666684,6.690060727,6.487013475,6.445117529,6.365245678
1700061G19Rik,6.472691791,6.299342288,6.801492656,6.330381945,6.381231221,6.685227124,6.351594569,6.444966093
1700063K16Rik,5.879159283,5.879159283,6.12076685,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700064H15Rik,6.434761089,6.440798468,6.222510575,6.527471596,6.159752818,5.879159283,5.879159283,6.042399133
1700065I16Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700066B19Rik,6.567125721,6.718698176,6.719051088,6.672726215,6.467043989,6.361804423,6.213974572,6.753153031
1700066M21Rik,11.44237828,11.39001615,11.34081447,11.51445453,11.36152082,11.67062254,11.73122145,11.67613238
1700067K01Rik,7.401334225,7.514228595,7.098678909,7.186748138,7.458179876,6.927690346,7.237183129,6.85947453
1700067P10Rik,5.879159283,5.879159283,6.296666629,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700069L16Rik,6.22784188,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700071K01Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700073E17Rik,6.3323051,6.045526049,6.207953854,5.879159283,6.326165037,6.164662041,5.879159283,6.195393118
1700074P13Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700080E11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700080O16Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700084J12Rik,6.331568172,6.250922785,6.391384302,6.546904935,6.426183588,6.302685431,6.555271375,6.603814962
1700084M14Rik,5.879159283,6.096336512,6.115834606,5.879159283,6.212593006,5.879159283,5.879159283,5.879159283
1700086D15Rik,6.286326586,6.096418384,5.879159283,6.471973626,6.357091358,6.143928425,6.283140253,5.879159283
1700086L19Rik,9.549957285,10.15199419,10.08011126,9.796418867,9.238659026,9.590108115,9.589036788,9.76530656
1700088E04Rik,7.978985328,8.088074079,8.147372189,7.908914387,8.232924196,8.077994452,8.303200306,8.11584268
1700091H14Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700092M07Rik,6.570310545,6.21879899,6.058319358,6.102194819,6.260472435,5.879159283,6.133578662,5.879159283
1700093K21Rik,6.421657905,6.253221495,6.090713407,6.130032644,6.419930224,6.48383528,6.203352594,6.245080203
1700102P08Rik,7.250350193,6.683028458,6.596201855,7.11975383,6.561459832,6.766204225,6.844226566,6.57582156
1700109H08Rik,7.453887109,7.428459945,7.372497042,7.708867514,7.85362952,7.341145515,7.708387595,7.476381222
1700113H08Rik,6.385366455,6.261725478,6.053685722,6.304790901,6.439805073,6.502663464,6.46188501,6.167800912
1700122O11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700123K08Rik,6.400000297,6.113363002,5.879159283,6.199603618,6.050574186,5.879159283,5.879159283,6.067541427
1700123L14Rik,6.484064051,6.183140678,5.879159283,6.052595433,6.489911929,5.879159283,6.061051489,6.311317622
1700123O20Rik,10.47372639,10.33147616,10.62201729,10.6981763,11.19389357,10.99440072,10.70811944,11.01672792
1700125H20Rik,5.879159283,6.571508183,6.060231664,5.879159283,6.477065677,6.385779661,6.254100487,6.280501779
1700128F08Rik,6.734768875,6.625367491,6.471774912,6.642831409,6.678485606,6.497867805,6.790327213,6.308135962
1700129C05Rik,5.879159283,5.879159283,6.134416074,5.879159283,5.879159283,6.060792016,5.879159283,5.879159283
1810009A15Rik,9.68429012,9.468990535,9.693599912,9.64716421,9.597005744,9.518917235,9.522905908,9.667087358
1810009J06Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1810010D01Rik,6.029298901,6.297333649,6.187416275,6.420192976,6.742283947,6.374596212,6.06614169,6.311613813
1810010H24Rik,8.435246042,8.343008007,8.18772745,8.642859431,10.7689836,9.662637321,9.717375265,9.681582182
1810013L24Rik,11.10475783,11.054048,11.14017961,11.19999781,11.51268806,11.28880565,11.53500957,11.20713583
1810014B01Rik,8.045823844,8.011666362,8.537547564,8.326826595,8.634049473,8.504062629,8.33561827,8.241793275
1810018F18Rik,6.333826805,5.879159283,6.122452049,6.052810642,6.315100739,6.068537845,5.879159283,6.056181049
1810022K09Rik,10.9228308,10.74808909,11.08642634,10.82479684,10.69384692,10.92774352,10.86339644,10.83096491
1810024B03Rik,6.910604405,6.896411835,7.238248894,6.95769921,6.759962472,6.843320825,6.865537929,6.825688423
1810030O07Rik,10.21688912,10.56605025,10.4890589,10.59143067,11.14985186,10.99390438,10.7688645,10.98621704
1810037I17Rik,11.23758515,11.01423944,11.66236432,11.45489656,12.00299826,12.04030419,11.9496104,11.97706487
1810043G02Rik,11.29192675,11.42450873,11.55046912,11.39027487,11.0638679,11.16619661,11.33733424,11.3289505
1810046K07Rik,5.879159283,6.343516772,6.099818666,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1810049J17Rik,6.664606149,6.205016945,6.633779125,6.288301303,6.768859736,6.864256101,6.512604832,6.503566434
1810055G02Rik,10.87637907,11.33916789,11.22732521,11.15367122,11.49263392,11.34169803,11.32857035,11.43374543
1810062G17Rik,6.336882733,6.098429767,6.394382351,6.419881533,7.263160806,6.814671555,6.868720097,6.788353721
1810065E05Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.150354715,5.879159283,5.879159283
2010003K11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2010005H15Rik,6.088675995,5.879159283,6.429230385,6.220442601,6.328155121,6.064203375,6.060079009,6.178486444
2010010A06Rik,6.039224531,5.879159283,6.012820213,6.160865409,5.879159283,5.879159283,5.879159283,5.879159283
2010106E10Rik,5.879159283,6.091889836,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2010109A12Rik,6.4038065,6.586084594,6.519937816,6.653335252,6.780400951,6.772092007,6.857071271,6.645603801
2010109I03Rik,6.904745437,6.424465328,6.893303975,6.842558008,6.471027296,6.850722552,6.921960685,6.844623398
2010111I01Rik,11.49300572,11.07286371,11.26175648,11.04805386,10.09568929,10.47011335,10.6392335,10.66732223
2010300C02Rik,13.74744261,14.1058454,13.62532151,13.58925323,11.49367568,12.75538865,12.99082343,12.87434943
2010315B03Rik,9.492443234,9.852203716,9.643232312,9.593179847,9.236520945,8.76456536,8.793895428,8.668608593
2200002D01Rik,6.738165362,6.808993188,6.401731256,6.842237542,6.850379472,6.35816081,6.587094286,6.385976383
2200002J24Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.058351933
2210010C04Rik,6.630361561,6.673692507,6.418631115,6.452611898,6.937790518,6.718095647,6.601224737,6.771211437
2210011C24Rik,6.76881303,7.335833309,7.339290933,7.315944043,7.721010169,7.56921986,7.093803407,7.945151824
2210016F16Rik,9.777705149,9.908582152,10.45695809,10.25848223,11.27529452,10.83238402,10.80510923,10.95234503
2210016L21Rik,12.51736219,12.21718929,12.73012598,12.64538454,11.55751587,12.15008668,12.23187351,12.25773995
2210017I01Rik,6.085068421,6.370065588,6.301182759,6.537250979,6.274361663,6.433550784,6.388415782,6.26708362
2210407C18Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2210408I21Rik,9.649231998,9.523425638,9.416083388,9.88978118,8.895955375,9.34758101,9.548641083,9.326842734
2210409E12Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2210418O10Rik,8.738918109,9.043524574,8.539391262,8.390360702,8.776438426,8.746799633,8.980809628,8.593275263
2300002M23Rik,5.879159283,6.253381204,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.230714163
2300003K06Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2300009A05Rik,9.840534202,9.335264478,9.689336677,9.561941091,9.369368504,9.65592984,9.381662148,9.49597231
2310002L09Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310003L06Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310007B03Rik,5.879159283,6.095820609,5.879159283,5.879159283,6.524039934,6.383817031,6.415093978,6.782599596
2310009B15Rik,8.631913818,8.48363346,9.032413871,8.89958372,8.421805741,8.425077575,8.455861698,8.593707875
2310011J03Rik,11.28602922,11.1864635,11.40418873,11.36325707,11.57934182,11.58997229,11.44024124,11.49006697
2310022A10Rik,10.50322707,10.58155786,10.52923914,10.61237308,10.21882392,10.15646102,10.39020836,10.28431201
2310022B05Rik,10.5061176,10.6544021,10.68650481,11.26697314,14.00819443,13.00850807,13.08124467,12.56683877
2310030G06Rik,7.971927919,7.551726472,7.669787638,7.853461565,7.165497206,7.484181289,7.825784286,7.730710964
2310033P09Rik,9.657254989,9.90154326,9.887321929,9.886916256,9.855758041,9.819022665,9.723510519,9.759763795
2310034C09Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310034G01Rik,7.200542516,7.386484847,7.264235744,7.301709779,6.719430839,6.82564573,6.720831709,7.169302007
2310039H08Rik,8.342157133,8.405848107,8.422675304,8.180351771,8.0789419,7.756750678,7.888132337,7.934975349
2310046K23Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310050C09Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310057J18Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.071064363,5.879159283,5.879159283
2310057M21Rik,10.95315475,10.62467915,10.38602052,10.56890159,9.938160101,10.13352342,10.30015801,10.62526978
2310057N15Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310061I04Rik,11.35924632,11.31037381,11.03194138,11.19896409,10.80325309,10.66758204,10.53775539,10.62787409
2310061N02Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2310079G19Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
2410002F23Rik,12.2569224,12.44114572,12.42548143,12.44987179,12.55898721,12.68613257,12.49876111,12.79199331
2410004B18Rik,11.09760399,11.0210332,11.25326564,11.05200669,10.98166767,11.12651396,11.01180716,11.1441
2410004P03Rik,7.850537834,8.486233621,7.370175081,7.406971529,8.425313791,8.721076628,8.774683441,9.522657374
2410015M20Rik,10.91001581,10.81356099,11.43805481,11.28958029,10.40472396,10.42779082,10.30688296,10.22465593
2410024N13Rik,6.770462974,6.324655887,6.266149396,6.701656275,6.714868912,6.328358984,6.238052433,6.420548385
2410131K14Rik,10.48784565,10.74721056,10.62777783,10.7373441,10.68376221,10.81099037,10.90913885,10.80240297
2410137M14Rik,6.392568071,6.198105713,6.458707792,6.391148433,6.144004957,6.510830252,6.358165854,6.25492376
2410141K09Rik,6.042156013,6.42596327,6.328900943,6.105891427,6.160849377,6.056027096,6.292925266,6.214678381
2510002D24Rik,10.39278599,10.29100312,10.51941701,10.41055622,10.21056901,10.29564956,10.32442964,10.29527127
2510009E07Rik,11.37845906,11.64824828,11.23673566,11.70901714,12.46010924,12.13869927,12.05981121,12.19314709
2510039O18Rik,11.39768884,11.63366269,11.57003731,11.56804682,12.20068389,11.93286619,11.80520541,11.75157012
2610001J05Rik,10.9074007,11.14027939,10.9487306,10.96194508,11.30538271,11.49822203,11.12321748,11.35986819
2610002M06Rik,11.16119417,11.12251566,10.96383513,11.16755014,10.13598278,10.56506233,10.78790658,10.70388563
2610005L07Rik,11.43668162,11.66822189,11.00245025,11.51068543,11.75950926,11.52549649,11.47388812,11.64982279
2610008E11Rik,10.43288074,10.75004087,10.67433224,10.38053232,10.56890199,10.18992958,10.45405434,10.11478043
2610021A01Rik,10.21251997,10.17250483,10.32757781,10.08392814,9.528523997,9.731618684,10.1154992,9.805951372
2610024D14Rik,6.316370273,5.879159283,5.879159283,6.287488864,6.169806771,6.130105922,6.057428482,5.879159283
2610028H24Rik,5.879159283,6.102614641,6.186486662,5.879159283,5.879159283,5.879159283,6.374585846,6.328954576
2610042L04Rik,6.892363677,6.974451789,6.649452995,6.507362718,6.743129866,6.70123843,6.432415724,7.269783709
2610044O15Rik8,11.12471505,11.13455424,11.14781917,10.83075778,10.19777166,10.37888731,10.26283771,10.37578489
